Year,GDP (in billion USD),Population (in millions),Inflation Rate (%),Unemployment Rate (%)
2000,5.5,23.5,3.5,4.2
2001,5.7,24.0,4.0,4.5
2002,5.9,24.5,4.5,4.7
2003,6.2,25.0,5.0,4.8
2004,6.5,25.5,5.5,4.9
2005,6.8,26.0,6.0,5.0
2006,7.1,26.5,6.5,5.1
2007,7.5,27.0,7.0,5.2
2008,7.9,27.5,7.5,5.3
2009,8.3,28.0,8.0,5.4
2010,8.7,28.5,8.5,5.5
2011,9.2,29.0,9.0,5.6
2012,9.7,29.5,9.5,5.7
2013,10.2,30.0,10.0,5.8
2014,10.8,30.5,10.5,5.9
2015,11.4,31.0,11.0,6.0
2016,12.1,31.5,11.5,6.1
2017,12.8,32.0,12.0,6.2
2018,13.6,32.5,12.5,6.3
2019,14.4,33.0,13.0,6.4
2020,15.2,33.5,13.5,6.5
2021,16.0,34.0,14.0,6.6
2022,16.9,34.5,14.5,6.7
2023,17.8,35.0,15.0,6.8